Team,Attacking - Assists,Attacking - Attempts At Goal,Attacking - Attempts At Goal Conv. Rate (%),Attacking - Attempts Inside the Penalty Area,Attacking - Attempts On Target,Attacking - Attempts Outside the Penalty Area,Attacking - Corners,Attacking - Goals,Attacking - Headed Attempts at Goal,Attacking - Off-Target Attempts,Attacking - Possession Control (%),Attacking - Rank,Attacking - xG,Attacking - xG Efficiency,Distribution - Rank,Distribution - Crosses,Distribution - Crossing Accuracy (%),Distribution - Defensive Linebreaks Acc (%),Distribution - Defensive Linebreaks Attempted,Distribution - Passes,Distribution - Passing Accuracy (%),Distribution - Switches of Play Acc (%),Distribution - Switches of Play Attempted,Defending - Rank,Defending - Ball Recovery Time (s),Defending - Defensive Pressures Applied,Defending - Defensive Pressures Directly Applied,Defending - Forced Turnovers,Defending - Goals Conceded,Defending - Own Goals,Discipline - Rank,Discipline - Fouls Against,Discipline - Fouls For,Discipline - Indirect Red Cards,Discipline - Offsides,Discipline - Red Cards,Discipline - Yellow Cards,Goalkeeping - Rank,Goalkeeping - Goals Conceded,Goalkeeping - Clean Sheets,Goalkeeping - Goalkeeper Actions Inside the Penalty Area,Goalkeeping - Goalkeeper Actions Outside the Penalty Area,Goalkeeping - Goalkeeper Save Percentage (%),Goalkeeping - Goalkeeper Saves,Movement - Rank,Movement - Offers In Behind,Movement - Offers In Between,Movement - Offers In Front,Movement - Offers Inside Team Shape,Movement - Offers Outside Team Shape,Movement - Offers To Receive,Movement - Receptions Between Midfield And Defensive Line,Movement - Receptions In Behind,Movement - Receptions Under Pressure,Physical - Rank,Physical - Average Speed (km/h),Physical - High Speed Running,Physical - Sprints,Physical - Total Distance (m)
New Zealand,3.0,31.0,13.0,19.0,15.0,12.0,10.0,4.0,6.0,8.0,42.0,25.0,2.48,1.62,31.0,37.0,19.0,22.0,54.0,1335.0,83.0,75.0,8.0,12.0,47.94,844.0,140.0,118.0,10.0,0.0,32.0,32.0,23.0,0.0,4.0,0.0,4.0,27.0,10.0,0.0,97.0,88.0,2.0,11.0,28.0,263.0,471.0,328.0,559.0,503.0,1062.0,267.0,14.0,563.0,5.0,6.22,4280.0,1492.0,349040.82
Norway,7.0,43.0,23.0,35.0,21.0,8.0,17.0,10.0,9.0,14.0,47.0,4.0,7.66,1.31,13.0,52.0,37.0,43.0,70.0,1849.0,86.0,71.0,14.0,12.0,63.3,910.0,152.0,132.0,8.0,0.0,14.0,42.0,29.0,0.0,3.0,0.0,2.0,27.0,8.0,0.0,85.0,75.0,2.0,12.0,8.0,296.0,619.0,421.0,710.0,626.0,1336.0,413.0,32.0,759.0,7.0,6.19,5295.0,1853.0,464494.35
Panama,0.0,32.0,0.0,20.0,7.0,12.0,12.0,0.0,5.0,16.0,42.0,48.0,2.19,0.0,32.0,58.0,21.0,43.0,54.0,1259.0,83.0,70.0,27.0,12.0,46.44,753.0,175.0,147.0,4.0,0.0,7.0,46.0,33.0,0.0,6.0,0.0,5.0,27.0,4.0,0.0,48.0,42.0,2.0,9.0,35.0,239.0,366.0,284.0,418.0,471.0,889.0,248.0,28.0,532.0,23.0,6.04,3745.0,1372.0,336713.09
Paraguay,3.0,30.0,10.0,16.0,8.0,14.0,8.0,3.0,4.0,14.0,28.0,28.0,1.86,1.61,34.0,41.0,20.0,27.0,55.0,1169.0,72.0,80.0,15.0,2.0,68.31,1421.0,275.0,209.0,5.0,1.0,3.0,53.0,50.0,0.0,5.0,1.0,9.0,3.0,5.0,2.0,116.0,103.0,3.0,24.0,44.0,164.0,264.0,237.0,327.0,338.0,665.0,212.0,18.0,521.0,27.0,6.0,5248.0,1818.0,488152.5
Portugal,3.0,37.0,16.0,22.0,12.0,15.0,10.0,6.0,2.0,16.0,55.0,14.0,3.57,1.68,10.0,61.0,25.0,60.0,82.0,1899.0,92.0,84.0,25.0,12.0,49.01,683.0,96.0,103.0,1.0,0.0,39.0,29.0,34.0,0.0,7.0,0.0,4.0,3.0,1.0,2.0,63.0,54.0,3.0,9.0,17.0,382.0,478.0,350.0,677.0,533.0,1210.0,378.0,47.0,590.0,40.0,5.88,3395.0,1260.0,324019.59
Qatar,1.0,17.0,12.0,10.0,6.0,7.0,9.0,2.0,2.0,10.0,31.0,33.0,1.88,1.06,48.0,28.0,36.0,27.0,71.0,912.0,78.0,91.0,11.0,1.0,60.48,832.0,122.0,101.0,10.0,2.0,22.0,36.0,28.0,0.0,4.0,2.0,4.0,27.0,10.0,0.0,124.0,103.0,2.0,16.0,46.0,169.0,285.0,189.0,347.0,296.0,643.0,146.0,22.0,361.0,47.0,5.64,3584.0,1080.0,310036.75
Saudi Arabia,0.0,17.0,6.0,8.0,8.0,9.0,7.0,1.0,3.0,5.0,33.0,44.0,1.52,0.66,33.0,22.0,23.0,40.0,53.0,1175.0,78.0,67.0,12.0,2.0,53.18,1035.0,140.0,128.0,5.0,1.0,39.0,29.0,26.0,0.0,3.0,0.0,6.0,15.0,5.0,1.0,86.0,78.0,3.0,17.0,42.0,207.0,276.0,224.0,386.0,321.0,707.0,244.0,24.0,523.0,25.0,6.02,4110.0,1450.0,338484.3
Scotland,0.0,29.0,3.0,23.0,7.0,6.0,12.0,1.0,6.0,12.0,41.0,44.0,2.34,0.43,29.0,53.0,34.0,40.0,45.0,1377.0,87.0,71.0,17.0,12.0,70.31,775.0,109.0,107.0,4.0,0.0,14.0,42.0,39.0,0.0,2.0,0.0,5.0,15.0,4.0,1.0,75.0,64.0,2.0,9.0,29.0,231.0,400.0,409.0,558.0,482.0,1040.0,230.0,15.0,430.0,6.0,6.21,3766.0,1251.0,348567.52
Senegal,8.0,49.0,16.0,28.0,17.0,21.0,20.0,8.0,6.0,21.0,52.0,7.0,5.14,1.56,22.0,63.0,29.0,58.0,69.0,1610.0,88.0,96.0,23.0,12.0,45.34,703.0,108.0,113.0,6.0,0.0,46.0,24.0,28.0,0.0,8.0,0.0,2.0,15.0,6.0,1.0,53.0,40.0,2.0,9.0,24.0,343.0,370.0,353.0,628.0,438.0,1066.0,325.0,37.0,696.0,38.0,5.89,3738.0,1411.0,339841.4
South Africa,1.0,39.0,5.0,13.0,11.0,26.0,11.0,2.0,5.0,18.0,46.0,33.0,2.48,0.8,11.0,36.0,17.0,41.0,63.0,1855.0,85.0,85.0,27.0,12.0,73.07,1081.0,166.0,158.0,4.0,0.0,16.0,38.0,46.0,0.0,8.0,2.0,5.0,15.0,4.0,1.0,72.0,59.0,3.0,14.0,16.0,359.0,458.0,395.0,669.0,543.0,1212.0,283.0,29.0,634.0,37.0,5.9,5039.0,1884.0,429068.84
Spain,4.0,55.0,9.0,34.0,16.0,21.0,23.0,5.0,11.0,26.0,62.0,19.0,6.58,0.76,5.0,82.0,22.0,72.0,78.0,2191.0,92.0,95.0,21.0,12.0,32.04,629.0,102.0,146.0,0.0,0.0,26.0,34.0,15.0,0.0,6.0,0.0,2.0,1.0,0.0,3.0,43.0,31.0,3.0,6.0,4.0,469.0,498.0,620.0,938.0,649.0,1587.0,460.0,55.0,741.0,18.0,6.09,3716.0,1256.0,342164.48
Sweden,6.0,48.0,15.0,30.0,23.0,18.0,18.0,7.0,8.0,18.0,43.0,11.0,4.66,1.5,23.0,62.0,19.0,45.0,75.0,1569.0,82.0,85.0,13.0,12.0,72.94,859.0,150.0,150.0,10.0,0.0,13.0,43.0,50.0,0.0,9.0,0.0,5.0,27.0,10.0,0.0,76.0,66.0,2.0,16.0,25.0,285.0,427.0,353.0,611.0,454.0,1065.0,338.0,35.0,620.0,29.0,5.99,4426.0,1586.0,439790.02
Switzerland,4.0,45.0,16.0,32.0,18.0,13.0,19.0,7.0,3.0,17.0,55.0,11.0,6.67,1.05,18.0,66.0,14.0,54.0,76.0,1663.0,88.0,90.0,21.0,2.0,36.08,615.0,123.0,137.0,3.0,1.0,19.0,37.0,42.0,0.0,5.0,0.0,3.0,27.0,3.0,0.0,38.0,34.0,3.0,11.0,27.0,337.0,407.0,319.0,629.0,434.0,1063.0,317.0,46.0,562.0,26.0,6.0,4041.0,1348.0,334171.2
