Assists,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts On Target,Attempts Outside the Penalty Area,Corners,Goals,Headed Attempts at Goal,Off-Target Attempts,Possession Control (%),Rank,Team,xG,xG Efficiency,Category,Crosses,Crossing Accuracy (%),Defensive Linebreaks Acc (%),Defensive Linebreaks Attempted,Passes,Passing Accuracy (%),Switches of Play Acc (%),Switches of Play Attempted,Ball Recovery Time (s),Defensive Pressures Applied,Defensive Pressures Directly Applied,Forced Turnovers,Goals Conceded,Own Goals,Fouls Against,Fouls For,Indirect Red Cards,Offsides,Red Cards,Yellow Cards,Clean Sheets,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Goalkeeper Save Percentage (%),Goalkeeper Saves,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Offers To Receive,Receptions Between Midfield And Defensive Line,Receptions In Behind,Receptions Under Pressure,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
,,,,,,,,,,,2,Tunisia,,,Defending,,,,,,,,,69.13,802,131,109,12,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,Uzbekistan,,,Defending,,,,,,,,,50,944,142,135,11,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,Switzerland,,,Defending,,,,,,,,,36.08,615,123,137,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,Australia,,,Defending,,,,,,,,,52.57,856,130,118,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2,Iraq,,,Defending,,,,,,,,,61.26,851,155,122,12,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Colombia,,,Defending,,,,,,,,,41.46,533,86,107,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Belgium,,,Defending,,,,,,,,,39.11,597,89,130,2,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Japan,,,Defending,,,,,,,,,80.59,1118,191,139,5,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,France,,,Defending,,,,,,,,,61.43,981,167,174,2,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Portugal,,,Defending,,,,,,,,,49.01,683,96,103,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Haiti,,,Defending,,,,,,,,,49.18,810,143,113,8,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Czechia,,,Defending,,,,,,,,,56.67,857,121,119,6,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Korea Republic,,,Defending,,,,,,,,,44.64,563,86,106,3,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,USA,,,Defending,,,,,,,,,36.41,638,139,136,4,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Austria,,,Defending,,,,,,,,,63.15,810,132,109,6,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Croatia,,,Defending,,,,,,,,,48.95,720,131,114,5,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,New Zealand,,,Defending,,,,,,,,,47.94,844,140,118,10,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Uruguay,,,Defending,,,,,,,,,40.21,745,130,133,4,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Mexico,,,Defending,,,,,,,,,43.94,668,88,112,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Germany,,,Defending,,,,,,,,,49.48,915,187,189,5,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Canada,,,Defending,,,,,,,,,52.44,910,171,180,3,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Algeria,,,Defending,,,,,,,,,46.08,749,115,134,7,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Spain,,,Defending,,,,,,,,,32.04,629,102,146,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Curaçao,,,Defending,,,,,,,,,56.6,983,160,121,9,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Cabo Verde,,,Defending,,,,,,,,,51.37,837,117,146,2,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Argentina,,,Defending,,,,,,,,,48.34,701,131,129,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,IR Iran,,,Defending,,,,,,,,,47.85,874,148,132,3,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,Côte d'Ivoire,,,Defending,,,,,,,,,70.71,1123,188,176,4,0,,,,,,,,,,,,,,,,,,,,,,,,
